Report generated on: 11-17-2024 10:07:11
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","crude oil including lease condensate production (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.57-1-TCD-TBPD.A","        Chad","","","","","","","","","","","","","","","","","","","","","","","","32.6986301369863","173.0737704918033","170","156.24657534246575","144","127.1639344262295","119.47123287671234","122.52054794520548","114.96438356164384","104.48360655737704","100","121","123","114","127.919117"
"INTL.57-1-CHL-TBPD.A","        Chile","","","","","35.833333333333336","33.24109589041096","30.90958904109589","29.495890410958904","21.997267759562842","19.745205479452054","17.660273972602738","15.824657534246576","13.172131147540984","12.331506849315069","12.399871232876713","8.72607397260274","7.582120218579235","5.643646575342466","5.087597260273973","5.007986301369863","5.368633879781421","5.383339726027398","4.4545369863013695","3.6165506849315068","3.5657349726775958","3.3427342465753425","2.8575095890410958","2.5508438356164382","3.092079234972678","3.6838767123287672","4.164383561643835","4.586301369863014","6.081967213114754","6.6657534246575345","6.580821917808219","6.260273972602739","4.423497267759563","3.340178082191781"
"INTL.57-1-CHN-TBPD.A","        China","2113.8524590163934","2012.4383561643835","2045","2119.6027397260273","2295.6693989071036","2505.1643835616437","2620.2876712328766","2690","2730.3196721311474","2756.7917808219177","2773.931506849315","2835.328767123288","2837.9234972677596","2912.145205479452","2921.8257369863013","3000.4984767123287","3138.090786885246","3214.4561315068495","3224.4758684931508","3203.4042054794522","3258.839844262295","3287.6719643835618","3348.5094630136987","3400.8326246575343","3517.4359863387976","3593.638287671233","3622.4102383561644","3681.9788684931505","3790.1819672131146","3795.9586301369864","4078.360273972603","4052.055616438356","4074.0743169398907","4163.816712328767","4208.254794520548","4277.693150684931","3983.48087431694","3771.9068339519645"
"INTL.57-1-COL-TBPD.A","        Colombia","","","","","171.36338797814207","175","303.5945205479452","386.4438356164384","374.53551912568304","404.6657534246575","439.7178082191781","425.54246575342466","438.45628415300547","453.3643835616438","455.51212602739724","584.6681863013698","624.9225136612022","652.1949780821918","740.7232876712329","815.4654767123287","684.1857923497267","603.9923178082191","578.1444575342466","541.3318575342465","527.6040300546448","526.1961917808219","527.3547178082192","531.1224630136986","588.3567295081967","670.6456931506849","785.4009972602739","914.421391780822","944.3176010928962","1005.7918356164383","988.0082191780822","1003.0164383561644","885.9664535519125","854.0399549836384"
"INTL.57-1-COM-TBPD.A","        Comoros","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-COG-TBPD.A","        Congo-Brazzaville","65","83","89","87","121","120","119","123","144","164","165","156","176.28415300546447","188.78082191780823","176","180.4794520547945","200.47267759562843","225.15068493150685","238.44657534246576","255.99726301369864","256.1809262295082","235.56005753424657","227.4389698630137","207.87876712328767","217.32418306010928","239.06563835616438","270.723698630137","220.9284602739726","233.2704918032787","267.8602739726027","340.05621643835616","287.9598520547945","259.59534972677596","239.30152602739727","233.28248493150684","238.4784","197.99632513661203","244.84639007174795"
"INTL.57-1-COD-TBPD.A","        Congo-Kinshasa","","","","","27.75409836065574","30","30","30.991780821917807","29","28","29","27","24","23","25","28","29","28","26","26","23","25","23","26","28","25","24","24","19.957650273224044","22","21","20.161643835616438","20","20","20","20","20","19"
"INTL.57-1-COK-TBPD.A","        Cook Islands","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-CRI-TBPD.A","        Costa Rica","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-CIV-TBPD.A","        Cote d'Ivoire","","","","","20","20","19","16","10","2","2","1","6","6","7","7","16","14","10","10","7","6","15.863013698630137","22.931506849315067","23","40","62","48","59.16502732240437","57.8172602739726","43.83287671232877","39.58904109589041","37.91530054644809","37","36","29.586301369863012","40.52459016393443","38.023576"
